"电影名","年份","国别"
"寻梦环游记 / Coco","2017","美国"
"死侍2：我爱我家 / Deadpool 2","2018","美国"
"金刚狼3：殊死一战 / Logan","2017","美国"
"金刚狼2 / The Wolverine","2013","美国 / 英国"
"金刚狼 / X-Men Origins: Wolverine","2009","美国 / 英国"
"X战警：逆转未来 / X-Men: Days of Future Past","2014","美国 / 英国"
"X战警2 / X2","2003","美国 / 加拿大"
"X战警 / X-Men","2000","美国 / 加拿大"
"死侍 / Deadpool","2016","美国 / 加拿大"
"福音战士新剧场版：序 / ヱヴァンゲリヲン新劇場版：序","2007","日本"
"福音战士新剧场版：破 / ヱヴァンゲリヲン新劇場版：破","2009","日本"
"福音战士新剧场版：Q / ヱヴァンゲリヲン新劇場版：Q","2012","日本"
"新世纪福音战士剧场版：Air/真心为你 / 新世紀エヴァンゲリオン劇場版 Air/まごころを、君に","1997","日本"
"新世纪福音战士 / 新世紀エヴァンゲリオン","1995","日本"
"王牌特工2：黄金圈 / Kingsman: The Golden Circle","2017","英国 / 美国"
"王牌特工：特工学院 / Kingsman: The Secret Service","2014","英国 / 美国"
"1/2的魔法 / Onward","2020","美国"
"疯狂原始人2 / The Croods: A New Age","2020","美国"
"心灵奇旅 / Soul","2020","美国"
"釜山行2：半岛 / 부산행2-반도","2020","韩国"
"猛禽小队和哈莉·奎茵 / Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn","2020","美国"
"信条 / Tenet","2020","美国 / 英国"
"天鹰战士：最后的冲击 / シン・エヴァンゲリオン劇場版:│▌","2021","日本"
"星蝶公主 第二季 / Star vs. the Forces of Evil Season 2","2016","美国"
"怪诞小镇 第二季 / Gravity Falls Season 2","2014","美国"
"X特遣队：全员集结 / The Suicide Squad","2021","美国 / 加拿大 / 英国"
"东方快车谋杀案 / Murder on the Orient Express","2017","马耳他 / 美国"
"蜘蛛侠 / Spider-Man","2002","美国"
"海底总动员 / Finding Nemo","2003","美国 / 澳大利亚"
"长城 / The Great Wall","2016","中国大陆 / 美国"
"海王 / Aquaman","2018","美国 / 澳大利亚"
"康斯坦丁 / Constantine","2005","美国 / 德国"
"黑客帝国3：矩阵革命 / The Matrix Revolutions","2003","美国"
"黑客帝国2：重装上阵 / The Matrix Reloaded","2003","美国"
"黑客帝国 / The Matrix","1999","美国"
"疾速追杀3 / John Wick: Chapter 3 - Parabellum","2019","美国"
"疾速追杀2 / John Wick: Chapter 2","2017","美国 / 中国香港"
"疾速追杀 / John Wick","2014","美国"
"怪诞小镇 第一季 / Gravity Falls Season 1","2012","美国"
"氰化欢乐秀 第一季 / The Cyanide and Happiness Show Season 1","2014","美国"
"脆莓公园 第一季 / Brickleberry Season 1","2012","美国"
"星蝶公主 第一季 / Star vs. the Forces of Evil Season 1","2015","美国"
"瑞克和莫蒂 第一季 / Rick and Morty Season 1","2013","美国"
"瑞克和莫蒂 第二季 / Rick and Morty Season 2","2015","美国"
"瑞克和莫蒂 第三季 / Rick and Morty Season 3","2017","美国"
"瑞克和莫蒂 第四季 / Rick and Morty Season 4","2019","美国"
"瑞克和莫蒂 第五季 / Rick and Morty Season 5","2021","美国"
"爱，死亡和机器人 第一季 / Love, Death & Robots Season 1","2019","美国"
"爱，死亡和机器人 第二季 / Love, Death & Robots Season 2","2021","美国"
"外星也难民 第一季 / Solar Opposites Season 1","2020","美国"
"星际迷航：下层舰员 第一季 / Star Trek: Lower Decks Season 1","2020","美国"
"怪奇物语 第二季 / Stranger Things Season 2","2017","美国"
"怪奇物语 第一季 / Stranger Things Season 1","2016","美国"
"怪奇物语 第三季 / Stranger Things Season 3","2019","美国"
