"电影名","年份","国别"
"我们 / Us","2019","美国 / 日本 / 中国大陆"
"大独裁者 / The Great Dictator","1940","美国"
"飞越疯人院 / One Flew Over the Cuckoo's Nest","1975","美国"
"不虚此行","2023","中国大陆"
"精武英雄","1994","中国香港 / 中国大陆"
"魅影缝匠 / Phantom Thread","2017","美国 / 英国"
"神秘河 / Mystic River","2003","美国 / 澳大利亚"
"涉过愤怒的海","2023","中国大陆"
"精疲力尽 / À bout de souffle","1960","法国"
"雷诺阿 / Renoir","2012","法国"
"水中生活 / The Life Aquatic with Steve Zissou","2004","美国"
"阿飞正传 / 阿飛正傳","1990","中国香港"
"伯德小姐 / Lady Bird","2017","美国"
"完美的世界 / A Perfect World","1993","美国"
"拾荒者统治 / Scavengers Reign","2023","美国"
"AI创世者 / The Creator","2023","美国 / 泰国"
"牯岭街少年杀人事件 / 牯嶺街少年殺人事件","1991","中国台湾"
"伊万的童年 / Иваново детство","1962","苏联"
"心之全蚀 / Total Eclipse","1995","英国 / 法国 / 比利时"
"多哥 / Togo","2019","美国"
"穿普拉达的女王 / The Devil Wears Prada","2006","美国 / 法国"
"K星异客 / K-PAX","2001","美国 / 德国"
"四百击 / Les quatre cents coups","1959","法国"
"杀手 / The Killer","2023","美国"
"云图 / Cloud Atlas","2012","美国 / 德国 / 中国香港 / 新加坡 / 中国大陆 / 英国 / 西班牙"
"威尼斯惊魂夜 / A Haunting in Venice","2023","美国 / 英国 / 意大利"
"魂断威尼斯 / Morte a Venezia","1971","意大利 / 法国"
"战场上的快乐圣诞 / Merry Christmas Mr. Lawrence","1983","英国 / 新西兰 / 日本"
"劳工之爱情","1922","中国大陆"
"黑炮事件","1986","中国大陆"
"唐人街 / Chinatown","1974","美国"
"尸体 / Bodies","2023","英国"
"危机13小时 / 13 Hours: The Secret Soldiers of Benghazi","2016","美国"
"冷山 / Cold Mountain","2003","英国 / 意大利 / 罗马尼亚 / 美国"
"黑社会 / 黑社會","2005","中国香港"
"色，戒","2007","中国台湾 / 中国大陆 / 美国 / 中国香港"
"佛罗里达乐园 / The Florida Project","2017","美国"
"美国丽人 / American Beauty","1999","美国"
"哭声 / 곡성","2016","韩国"
"卡里加里博士的小屋 / Das Cabinet des Dr. Caligari","1920","德国"
"天生一对 / The Parent Trap","1998","美国"
"我们星球上的生命 第一季 / Life on Our Planet Season 1","2023","美国"
"坠落的审判 / Anatomie d'une chute","2023","法国"
"热泪伤痕 / Dolores Claiborne","1995","美国"
"潜行者 / Сталкер","1979","苏联"
"卡萨布兰卡 / Casablanca","1942","美国"
"尼罗河上的惨案 / Death on the Nile","1978","英国"
"上帝之城 / Cidade de Deus","2002","巴西 / 法国"
"河边的错误","2023","中国大陆"
"爱在黎明破晓前 / Before Sunrise","1995","美国 / 奥地利 / 瑞士"
"月球 / Moon","2009","英国 / 美国"
"青春年少 / Rushmore","1998","美国"
"好家伙 / GoodFellas","1990","美国"
"万神殿 第二季 / Pantheon Season 2","2023","美国"
"蝴蝶君 / M. Butterfly","1993","美国 / 加拿大"
"人工智能 / A.I. Artificial Intelligence","2001","美国"
"洛基 第二季 / Loki Season 2","2023","美国"
"卢旺达饭店 / Hotel Rwanda","2004","英国 / 南非 / 意大利 / 美国"
"地球之夜 / Night on Earth","1991","法国 / 英国 / 德国 / 美国 / 日本"
"丹麦女孩 / The Danish Girl","2015","英国 / 美国 / 比利时 / 丹麦 / 德国"
"沉静如海 / Le silence de la mer","2004","法国 / 比利时"
"网络谜踪 / Searching","2018","美国 / 俄罗斯"
"犬之力 / The Power of the Dog","2021","英国 / 澳大利亚 / 美国 / 加拿大 / 新西兰"
"爵士春秋 / All That Jazz","1979","美国"
"回忆三部曲 / Memories","1995","日本"
"雌雄大盗 / Bonnie and Clyde","1967","美国"
"公民凯恩 / Citizen Kane","1941","美国"
"面纱 / The Painted Veil","2006","美国 / 中国大陆 / 加拿大"
"机械姬 / Ex Machina","2014","英国 / 美国"
"西力传 / Zelig","1983","美国"
"冰风暴 / The Ice Storm","1997","美国"
"世界尽头 / The World's End","2013","英国"
"天才一族 / The Royal Tenenbaums","2001","美国"
"潜伏 / Insidious","2010","美国 / 加拿大"
"亨利·休格的神奇故事 / The Wonderful Story of Henry Sugar","2023","美国"
"1917","2019","美国 / 英国 / 印度 / 西班牙 / 加拿大 / 中国大陆"
"惊魂记 / Psycho","1960","美国"
"燃烧女子的肖像 / Portrait de la jeune fille en feu","2019","法国"
"阳光小美女 / Little Miss Sunshine","2006","美国"
"荒野大镖客 / Per un pugno di dollari","1964","意大利 / 西班牙 / 西德"
"黑天鹅 / Black Swan","2010","美国"
"真探 第一季 / True Detective Season 1","2014","美国"
"但是还有书籍","2019","中国大陆"
"一直游到海水变蓝","2020","中国大陆"
"危笑 / Smile","2022","美国"
"坚如磐石","2023","中国大陆"
"月神 / La Luna","2011","美国"
"复仇 / Vengeance","2009","中国香港 / 法国"
"万能钥匙 / The Skeleton Key","2005","美国 / 德国"
"逃离德黑兰 / Argo","2012","美国"
"一个美国消防员的生活 / Life of an American Fireman","1903","美国"
"火车大劫案 / The Great Train Robbery","1903","美国"
"祖母的放大镜 / Grandma's Reading Glass","1900","英国"
"火车进站 / L'arrivée d'un train à La Ciotat","1896","法国"
"橡皮头 / L'homme à la tête en caoutchouc","1901","法国"
"月球旅行记 / Le voyage dans la lune","1902","法国"
"驱魔 / The Exorcism of Emily Rose","2005","美国"
"美丽心灵 / A Beautiful Mind","2001","美国"
"大空头 / The Big Short","2015","美国"
"鹦鹉杀","2023","中国大陆"
"归家之路 / Welcome Home, Roxy Carmichael","1990","英国 / 美国"
"幻影凶间 / 1408","2007","美国"
"血色将至 / There Will Be Blood","2007","美国"
"奇爱博士 / Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","1964","美国 / 英国"
"荒蛮故事 / Relatos salvajes","2014","阿根廷 / 西班牙"
"处刑人 / The Boondock Saints","1999","美国 / 加拿大"
"蓝甲虫 / Blue Beetle","2023","美国 / 墨西哥"
"战马 / War Horse","2011","美国 / 印度"
"莫里斯 / Maurice","1987","英国"
"春天不是读书天 / Ferris Bueller's Day Off","1986","美国"
"穿越大吉岭 / The Darjeeling Limited","2007","美国"
"魂断蓝桥 / Waterloo Bridge","1940","美国"
"神弃之地 / The Devil All the Time","2020","美国"
"现代启示录 / Apocalypse Now","1979","美国"
"千钧一发 / Gattaca","1997","美国"
"安妮·霍尔 / Annie Hall","1977","美国"
"她 / Her","2013","美国"
"孟买酒店 / Hotel Mumbai","2018","澳大利亚 / 美国 / 印度"
"永安镇故事集","2021","中国大陆"
"月升王国 / Moonrise Kingdom","2012","美国"
"斯图尔特：倒带人生 / Stuart: A Life Backwards","2007","英国"
"E.T.外星人 / E.T. the Extra-Terrestrial","1982","美国"
"小岛惊魂 / The Others","2001","美国 / 西班牙 / 法国 / 意大利"
"午夜巴黎 / Midnight in Paris","2011","西班牙 / 美国 / 法国"
"消失的她","2022","中国大陆"
"蝴蝶效应 / The Butterfly Effect","2004","美国 / 加拿大"
"战栗空间 / Panic Room","2002","美国"
"解除好友2：暗网 / Unfriended: Dark Web","2018","美国"
"英国病人 / The English Patient","1996","美国 / 英国"
"奥本海默 / Oppenheimer","2023","美国 / 英国"
"遗传厄运 / Hereditary","2018","美国"
